game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=rqvo0d7l; 0nw715r8=zqogr6p1; dlo750j8=jq6w74jl,PC,5m 28.027s,https://youtu.be/7h_PJrdByEU,,co-op,2024-07-25,2,hawklikescurry,Dylangillespie19,,,http://www.speedrun.com/bocwz/run/ylx0jkky,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=5lemnmk1; 2lg396np=5leo55qo; wlewprl6=xqkd5nl9,PlayStation 4,33m 55.540s,https://youtu.be/ta1t8jkV97w,,solo,2023-06-21,1,Dylangillespie19,,,,http://www.speedrun.com/bo3zombies/run/ywrjqr0m,verified
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=jq6zvgjl; 2lg396np=5leo55qo; ylp4gjlg=xqk968n1,PlayStation 4,3m 1.000s,https://youtu.be/7MvzsrG5XTo,,solo,2023-06-20,1,Dylangillespie19,,,,http://www.speedrun.com/bo3zombies/run/meljxo9z,rejected
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=jq6yg731,PlayStation 4,2m 55.000s,https://youtu.be/x-JCjj3Odvc,,solo,2023-06-20,1,Dylangillespie19,,,,http://www.speedrun.com/bo3zombies/run/yj2x41gm,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=5leo55qo; 6njz75l4=5lm8wnjq,PlayStation 4,3m 30.000s,https://youtu.be/7MvzsrG5XTo,,solo,2023-06-19,1,Dylangillespie19,,,,http://www.speedrun.com/bo3zombies/run/zqj0k9rm,rejected
Call of Duty: Black Ops III Zombies,,Nacht Der Untoten,p853w00n=zqorj2xq; 2lg396np=5leo55qo; 2lg7e6lp=5le3v85q,PlayStation 3,4m 50.000s,https://youtu.be/owYUugIk3co,,solo,2023-06-19,1,Dylangillespie19,,,,http://www.speedrun.com/bo3zombies/run/meljvv9z,verified
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=mlnzezjl; 2lg396np=5leo55qo; ylqx7m8r=013w4rdq,PlayStation 4,3m 5.750s,https://youtu.be/qydPPNFHw-c,,solo,2023-06-19,1,Dylangillespie19,,,,http://www.speedrun.com/bo3zombies/run/zqjvx29m,verified
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=jq6zvgjl; 2lg396np=5leo55qo; ylp4gjlg=xqk968n1,PlayStation 3,2m 52.817s,https://youtu.be/7MvzsrG5XTo,,solo,2023-06-19,1,Dylangillespie19,,,,http://www.speedrun.com/bo3zombies/run/m3q7e3dy,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=jq6zvzjl; 2lg396np=5leo55qo; gnx65jnv=rqv6zd7l,PlayStation 4,3m 3.000s,https://youtu.be/I7_AFq-uBFs,,solo,2023-06-19,1,Dylangillespie19,,,,http://www.speedrun.com/bo3zombies/run/ywrklk3m,rejected
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=5leo55qo; 6njz75l4=jqzdkmlp,PlayStation 4,6m 40.000s,https://youtu.be/I7_AFq-uBFs,,solo,2023-06-19,1,Dylangillespie19,,,,http://www.speedrun.com/bo3zombies/run/z1lxw89m,verified
Call of Duty: Black Ops IIII Zombies,,Alpha Omega,9l71mw7l=jqzx4w21; 5lyjm0yl=0132y83q; yn21k7j8=4qyj4m6q,PlayStation 4,2m 14.000s,https://youtu.be/UTwzdJKaAQ4?si=KBhAKjIgY4ABdf-F,,solo,2024-03-29,1,Dylangillespie19,,,,http://www.speedrun.com/bo4zombies/run/y9j9jqvm,verified
Call of Duty: Black Ops IIII Zombies,,Voyage of Despair,dlomvkd8=jq67v3j1; 5lyjm0yl=0132y83q; e8mywzx8=4lx4gw4q,PlayStation 4,2m 26.000s,https://youtu.be/5y3KufdLM_I?si=lg6cekYbwaJODZgt,,solo,2024-03-24,1,Dylangillespie19,,,,http://www.speedrun.com/bo4zombies/run/y4624nqz,verified
Call of Duty: Black Ops IIII Zombies,,Dead of the Night,6njqrjpl=5q8zn5kq; 5lyjm0yl=0132y83q; kn0zwr38=zqonzd2l,PlayStation 4,39m 24.000s,https://youtu.be/868ZKxtgTnU?si=Hrmx0L6S-BLja3Yo,,solo,2024-03-10,1,Dylangillespie19,,,,http://www.speedrun.com/bo4zombies/run/y8w2wq1y,verified
Call of Duty: Black Ops IIII Zombies,,Voyage of Despair,dlomvkd8=jq67v3j1; 5lyjm0yl=0132y83q; e8mywzx8=4lx4gw4q,PlayStation 4,2m 36.000s,https://youtu.be/mwmGwLOwiIw?si=rjNn0HeXxWNBFPDV,,solo,2024-03-10,1,Dylangillespie19,,,,http://www.speedrun.com/bo4zombies/run/y9j0k4vm,verified
Call of Duty: Black Ops IIII Zombies,,Blood of the Dead,0nw2zqkn=rqvdzwyq; 5lyjm0yl=0132y83q; 789k790l=jqz4y7kl,PlayStation 4,2m 22.160s,https://youtu.be/mBrpBhY9OQw?si=A51p_siS3HbvKw0h,,solo,2024-03-10,1,Dylangillespie19,,,,http://www.speedrun.com/bo4zombies/run/yjol227z,verified
Call of Duty: Black Ops IIII Zombies,,Tag Der Toten,p853770n=klryod0q; 5lyjm0yl=0132y83q; 38dj3318=9qjxko0l,PlayStation 4,2m 14.000s,https://youtu.be/wM1L_l43F9E?si=L0Q4b_pj8JSr6rEG,,solo,2024-03-10,1,Dylangillespie19,,,,http://www.speedrun.com/bo4zombies/run/z0d5jjjy,verified
Call of Duty: Black Ops IIII Zombies,,Alpha Omega,9l71mw7l=21g2g66l; 5lyjm0yl=0132y83q; yn21k7j8=4qyj4m6q,PlayStation 4,2m 15.370s,https://youtu.be/E7sl9kpdSOk?si=pMoXilJYucbMb44S,,solo,2024-03-02,1,Dylangillespie19,,,,http://www.speedrun.com/bo4zombies/run/y221xr9y,verified
Call of Duty: Black Ops IIII Zombies,,Alpha Omega,9l71mw7l=21g2g66l; 5lyjm0yl=0132y83q; yn21k7j8=4qyj4m6q,PlayStation 4,2m 18.000s,https://youtu.be/DEoKIV-T3rE?si=Mi6CdXYIIK3uFS9g,,solo,2024-02-29,1,Dylangillespie19,,,,http://www.speedrun.com/bo4zombies/run/yjo4nvoz,verified
Call of Duty: Black Ops IIII Zombies,,Alpha Omega,9l71mw7l=21g2g66l; 5lyjm0yl=0132y83q; yn21k7j8=4qyj4m6q,PlayStation 4,2m 27.000s,https://youtu.be/-LLr1kIgxgc,,solo,2023-10-22,1,Dylangillespie19,,,,http://www.speedrun.com/bo4zombies/run/y2kxq1wy,verified
Call of Duty: Black Ops IIII Zombies,,Voyage of Despair,dlomvkd8=jq67v3j1; 5lyjm0yl=0132y83q; e8mywzx8=4lx4gw4q,PlayStation 4,2m 43.000s,https://youtu.be/NHBqi5HK_o4,,solo,2023-10-16,1,Dylangillespie19,,,,http://www.speedrun.com/bo4zombies/run/zneo7plz,verified
Call of Duty: Black Ops IIII Zombies,,Dead of the Night,6njqrjpl=5q8zn5kq; 5lyjm0yl=0132y83q; kn0zwr38=81w86351,PlayStation 4,12m 31.420s,https://youtu.be/HGBTEO2AhME,,solo,2023-10-15,1,Dylangillespie19,,,,http://www.speedrun.com/bo4zombies/run/z0x66ejz,verified
