game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; ylpkr68g=gq72gkn1,PlayStation 4,11m 59.770s,https://www.youtube.com/watch?v=eTxC-iRreS4,,solo,2020-12-01,1,Jiyxi,,,,http://www.speedrun.com/iwzombies/run/z09xnxoz,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylpkr68g=5le28pkl,PlayStation 4,3m 6.000s,https://www.youtube.com/watch?v=JJFeV1n9z90,,solo,2020-09-17,1,Jiyxi,,,,http://www.speedrun.com/iwzombies/run/mr9q39dm,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylpkr68g=5le28pkl,PlayStation 4,2m 49.000s,https://www.youtube.com/watch?v=1wnT8j9-Rfw,,solo,2020-09-17,1,Jiyxi,,,,http://www.speedrun.com/iwzombies/run/zq46xvrm,rejected
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylpkr68g=8100pnj1,PlayStation 4,2m 36.000s,https://www.youtube.com/watch?v=5yDoEOUy-fI,,solo,2020-09-17,1,Jiyxi,,,,http://www.speedrun.com/iwzombies/run/z53o9v5y,verified
Call of Duty: Infinite Warfare Zombies,,Shaolin Shuffle,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; 6njo6684=xqk95y91,PlayStation 4,3m 7.200s,https://www.youtube.com/watch?v=cFVLKerl_Sw,,solo,2020-09-16,1,Jiyxi,,,,http://www.speedrun.com/iwzombies/run/z1o360gm,verified
Call of Duty: Infinite Warfare Zombies,,Shaolin Shuffle,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; 6njo6684=xqk95y91,PlayStation 4,3m 3.067s,https://www.youtube.com/watch?v=19BvlDhmPFo,,solo,2020-09-16,1,Jiyxi,,,,http://www.speedrun.com/iwzombies/run/m3gdv4wz,verified
Call of Duty: Infinite Warfare Zombies,,Shaolin Shuffle,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; 6njo6684=xqk95y91,PlayStation 4,3m 18.000s,https://www.youtube.com/watch?v=YxbQxoCf9wE,,solo,2020-09-16,1,Jiyxi,,,,http://www.speedrun.com/iwzombies/run/zxdv595y,verified
Call of Duty: Infinite Warfare Zombies,,Shaolin Shuffle,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; 6njo6684=xqk95y91,PlayStation 4,3m 7.100s,https://www.youtube.com/watch?v=iK-c8khfRVE,,solo,2020-09-16,1,Jiyxi,,,,http://www.speedrun.com/iwzombies/run/y8rqn91m,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; ylpkr68g=8100pnj1,PlayStation 4,2m 44.000s,https://www.youtube.com/watch?v=6nnQwDRy_E0,,solo,2020-09-15,1,Jiyxi,,,,http://www.speedrun.com/iwzombies/run/ywd1rw0z,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; ylpkr68g=8100pnj1,PlayStation 4,2m 39.000s,https://www.youtube.com/watch?v=rOvYHzIf2kc,,solo,2020-09-15,1,Jiyxi,,,,http://www.speedrun.com/iwzombies/run/yd0qj4jz,rejected
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylpkr68g=8100pnj1,PlayStation 4,2m 36.000s,https://www.youtube.com/watch?v=5E2l3zKOmRQ&t=46s,,solo,2020-09-14,1,Jiyxi,,,,http://www.speedrun.com/iwzombies/run/z09epl4z,rejected
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; ylpkr68g=gq72gkn1,PlayStation 4,12m 31.000s,https://www.youtube.com/watch?v=lyDP6-DaBMw,,solo,2020-09-14,1,Jiyxi,,,,http://www.speedrun.com/iwzombies/run/ywd1rnpz,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; ylpkr68g=gq72gkn1,PlayStation 4,12m 25.000s,https://www.youtube.com/watch?v=OnUK38N7kGU,,solo,2020-09-14,1,Jiyxi,,,,http://www.speedrun.com/iwzombies/run/ylv96xkm,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylpkr68g=8100pnj1,PlayStation 4,2m 37.333s,https://www.youtube.com/watch?v=GTl5hzt67O4,,solo,2020-09-13,1,Jiyxi,,,,http://www.speedrun.com/iwzombies/run/yo349pdy,rejected
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylpkr68g=8100pnj1,PlayStation 4,2m 35.000s,https://www.youtube.com/watch?v=5E2l3zKOmRQ,,solo,2020-09-13,1,Jiyxi,,,,http://www.speedrun.com/iwzombies/run/ylv9o1rm,rejected
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylpkr68g=gq72gkn1,PlayStation 4,12m 4.000s,https://www.youtube.com/watch?v=pXUVgM-VCPA,,solo,2020-09-13,1,Jiyxi,,,,http://www.speedrun.com/iwzombies/run/me6kj19z,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylpkr68g=gq72gkn1,PlayStation 4,11m 41.233s,https://www.youtube.com/watch?v=ebiHCVv2MqE,,solo,2020-09-13,1,Jiyxi,,,,http://www.speedrun.com/iwzombies/run/zn38797y,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylpkr68g=5le28pkl,PlayStation 4,3m 0.633s,https://www.youtube.com/watch?v=PytF4ScesvI,,solo,2020-09-12,1,Jiyxi,,,,http://www.speedrun.com/iwzombies/run/mr9q9n2m,rejected
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylpkr68g=5le28pkl,PlayStation 4,3m 5.000s,https://www.youtube.com/watch?v=DxDejB9vQ5c,,solo,2020-09-12,1,Jiyxi,,,,http://www.speedrun.com/iwzombies/run/m3gdgl4z,verified
Call of Duty: Infinite Warfare Zombies,,Attack of the Radioactive Thing,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylq5o7lr=gq792yyl,PlayStation 4,26m 13.200s,https://www.youtube.com/watch?v=fkLeKcgKyu8&t=822s,,solo,2020-09-04,1,Jiyxi,,,,http://www.speedrun.com/iwzombies/run/m7grk10m,verified
Call of Duty: Infinite Warfare Zombies,,Attack of the Radioactive Thing,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylq5o7lr=21ge9kml,PlayStation 4,28m 15.000s,https://www.youtube.com/watch?v=fkLeKcgKyu8,,solo,2020-09-03,1,Jiyxi,,,,http://www.speedrun.com/iwzombies/run/z05v408m,rejected
Call of Duty: Infinite Warfare Zombies,,Attack of the Radioactive Thing,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylq5o7lr=21ge9kml,PlayStation 4,28m 15.000s,https://www.youtube.com/watch?v=fkLeKcgKyu8,,solo,2020-09-03,1,Jiyxi,,,,http://www.speedrun.com/iwzombies/run/y65k4jjz,rejected
Call of Duty: Infinite Warfare Zombies,,Attack of the Radioactive Thing,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylq5o7lr=gq792yyl,PlayStation 4,49m 38.933s,https://www.youtube.com/watch?v=qbkFni1pCC4,,solo,2020-08-30,1,Jiyxi,,,,http://www.speedrun.com/iwzombies/run/z15won7y,verified
