game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=jq6zvgjl; 2lg396np=5leo55qo; ylp4gjlg=xqk968n1,PC,2m 55.900s,https://www.youtube.com/watch?v=QEnLIDAEkVs,,solo,2025-12-27,1,Paradoxzy,,,,http://www.speedrun.com/bo3zombies/run/zq5dqlxz,verified
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=21d3635q; 2lg396np=5leo55qo; p85pd5lg=zqom2np1,PC,2m 34.800s,https://www.youtube.com/watch?v=7Sd6E2fOpdc,,solo,2025-12-26,1,Paradoxzy,,,,http://www.speedrun.com/bo3zombies/run/zq5dv75z,verified
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=klryxymq; 2lg396np=5leo55qo; p85pd5lg=zqom2np1,PC,2m 44.800s,https://www.youtube.com/watch?v=FWz5Ol4miYc,,solo,2025-12-26,1,Paradoxzy,,,,http://www.speedrun.com/bo3zombies/run/y40k7qnz,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=p12x9x4l; 2lg396np=5leo55qo; 6njz75l4=5lm8wnjq,PC,2m 57.350s,https://www.youtube.com/watch?v=JimvLSi6Nb0,,solo,2025-12-25,1,Paradoxzy,,,,http://www.speedrun.com/bo3zombies/run/mkrqg1xz,verified
Call of Duty: Black Ops III Zombies,,Shangri-La,ylqk4dzl=21d36o5q; 2lg396np=5leo55qo; 789ye5nw=p12o4z7l,PC,2m 51.950s,https://www.youtube.com/watch?v=CvuOVnFIo6E,,solo,2025-12-25,1,Paradoxzy,,,,http://www.speedrun.com/bo3zombies/run/m32kg8gy,verified
Call of Duty: Black Ops III Zombies,,Nacht Der Untoten,p853w00n=81w57rv1; 2lg396np=5leo55qo; 2lg7e6lp=5le3v85q,PC,4m 8.950s,https://www.youtube.com/watch?v=E9w0lOYHJrE,,solo,2025-12-25,1,Paradoxzy,,,,http://www.speedrun.com/bo3zombies/run/z56k3njy,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=814k4d0l,PC,2m 59.900s,https://www.youtube.com/watch?v=LUPmzeNXItU,,solo,2025-12-25,1,Paradoxzy,,,,http://www.speedrun.com/bo3zombies/run/mr529w8y,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=p12x944l; 2lg396np=5leo55qo; jlzz6xl2=814k4d0l,PC,3m 4.400s,https://www.youtube.com/watch?v=f_veYfNzb4c,,solo,2025-12-25,1,Paradoxzy,,,,http://www.speedrun.com/bo3zombies/run/mep0orqy,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=gq7r2rdl; 2lg396np=5leo55qo; 38dw04n0=81wer8o1,PC,2m 46.900s,https://www.youtube.com/watch?v=7L0kZqoc2ts,,solo,2025-12-25,1,Paradoxzy,,,,http://www.speedrun.com/bo3zombies/run/yl5lkg2z,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=p12x9x4l; 2lg396np=5leo55qo; 6njz75l4=5lm8wnjq,PC,2m 56.850s,https://www.youtube.com/watch?v=-oneMfsivZw,,solo,2025-12-25,1,Paradoxzy,,,,http://www.speedrun.com/bo3zombies/run/zn5ekd9z,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=5leo55qo; 6njz75l4=5lm8wnjq,PC,3m 1.950s,https://www.youtube.com/watch?v=lCWK2qWWNmU,,solo,2025-12-25,1,Paradoxzy,,,,http://www.speedrun.com/bo3zombies/run/z0kx5vjm,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=jq6yg731,PC,2m 54.800s,https://www.youtube.com/watch?v=i6F51KjNaoA,,solo,2025-12-25,1,Paradoxzy,,,,http://www.speedrun.com/bo3zombies/run/z56kj9dy,verified
