game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Shaolin Shuffle,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; 6njo6684=5lm8p0yq,PC,2m 36.000s,https://www.youtube.com/watch?v=x2XceLmJjFAhttps://www.youtube.com/watch?v=x2XceLmJjFA,https://www.youtube.com/watch?v=VdXK1H7IUWU,co-op,2026-02-24,2,Pinkhalfmoon,bigmouthbass,,,http://www.speedrun.com/iwzombies/run/y9g7vp2m,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=9qjw9k01,PC,52.000s,https://www.youtube.com/watch?v=U9ZYYy1Zlyo,,solo,2026-02-15,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/zq5xpe5z,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=9qjw9k01,PC,28.000s,https://www.youtube.com/watch?v=QQGQFXNh8Xk,,solo,2026-02-15,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/ydok4r0z,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=zqoxnzxq; onvyp7nm=9qjw9k01,PC,42.000s,https://www.youtube.com/watch?v=6iB-ZJwqPTM,,co-op,2026-02-14,4,Pinkhalfmoon,bigmouthbass,hush_sr,Trazzle,http://www.speedrun.com/iwzombies/run/y9w487nz,rejected
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; onvyp7nm=0139rzx1,PC,15m 51.100s,https://youtu.be/9jgX0Uve5ac?si=yyqJTg80P_Eh_uvi,,solo,2026-02-13,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/yv5wo7xm,verified
Call of Duty: Infinite Warfare Zombies,,Shaolin Shuffle,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; 6njo6684=xqk95y91,PC,2m 36.500s,https://www.youtube.com/watch?v=r5wRWn382ik,,solo,2026-02-11,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/zq5lxj8z,verified
Call of Duty: Infinite Warfare Zombies,,Shaolin Shuffle,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; 6njo6684=xqk95y91,PC,2m 44.550s,https://www.youtube.com/watch?v=vcu7qUis4PI,,solo,2026-02-11,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/mkr6jv5z,verified
Call of Duty: Infinite Warfare Zombies,,Shaolin Shuffle,9l73pdpn=q65nyr7l; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; 6njo6684=xqk95y91,PC,2m 45.000s,https://www.youtube.com/watch?v=PIefaRMUkWU,,solo,2026-02-11,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/z17ewqrz,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; ylpkr68g=8100pnj1,PC,2m 27.700s,https://www.youtube.com/watch?v=UXWzcxO25r8,,solo,2026-02-11,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/y681kxjz,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; ylpkr68g=8100pnj1,PC,2m 29.600s,https://www.youtube.com/watch?v=RifDg4hnv04,,solo,2026-02-11,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/y2rolewm,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=q65nyr7l; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; ylpkr68g=8100pnj1,PC,2m 32.500s,https://www.youtube.com/watch?v=rPByCH39wmI,,solo,2026-02-11,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/z56q92dy,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=0139rzx1,PC,27m 32.300s,https://youtu.be/7ocaZBgXHIw?si=88wwaZFauUG23OJ3,,solo,2026-02-09,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/yv5dvxom,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylpkr68g=81pen8el,PC,23m 56.400s,https://www.youtube.com/watch?v=-b6KQUbMA-4,,solo,2026-02-09,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/ydp8ex0y,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylpkr68g=gq72gkn1,PC,10m 18.300s,https://www.youtube.com/watch?v=-b6KQUbMA-4,,solo,2026-02-09,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/zpvn8erz,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylpkr68g=8100pnj1,PC,2m 21.517s,https://www.youtube.com/watch?v=R_OubnFDZdc,,solo,2026-02-01,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/z174do7z,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylpkr68g=8100pnj1,PC,2m 21.550s,https://www.youtube.com/watch?v=CVLNnFSJxFY,,solo,2026-01-29,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/z0k2xp4m,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylpkr68g=8100pnj1,PC,2m 22.800s,https://www.youtube.com/watch?v=s-QcnoRI0lw,,solo,2026-01-29,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/m7vj3w0m,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=q65nyr7l; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylpkr68g=8100pnj1,PC,2m 26.620s,https://www.youtube.com/watch?v=6IUqPYNdgas,,solo,2026-01-29,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/mr5w217y,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylpkr68g=5le28pkl,PC,2m 46.330s,https://www.youtube.com/watch?v=ySjMtDtcloc,,solo,2026-01-29,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/mepdlg0y,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylpkr68g=5le28pkl,PC,2m 38.470s,https://www.youtube.com/watch?v=ZCAq6iueUl0,,solo,2026-01-29,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/yv5epxom,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=q65nyr7l; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; onvyp7nm=mlnd9v61,PC,2m 43.440s,https://www.youtube.com/watch?v=pk5ZxSuJRWc,,solo,2026-01-29,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/y9wg81nz,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; onvyp7nm=rqvvdj6q,PC,1m 50.300s,https://www.youtube.com/watch?v=GkyhjJq7ruM,,solo,2026-01-29,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/z0k2j18m,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; onvyp7nm=mlnd9v61,PC,2m 49.350s,https://youtu.be/6VWgBwU1s9E?si=PWi1IWm5nNlQkSjl,,co-op,2026-01-28,2,Pinkhalfmoon,bigmouthbass,,,http://www.speedrun.com/iwzombies/run/y40vr9kz,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; onvyp7nm=mlnd9v61,PC,2m 46.770s,https://www.youtube.com/watch?v=D9UKpp0Wbus,,co-op,2026-01-28,2,Pinkhalfmoon,bigmouthbass,,,http://www.speedrun.com/iwzombies/run/mkrxgl5z,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=mlnd9v61,PC,2m 49.150s,https://www.youtube.com/watch?v=FLRuL5EDQRY,,solo,2026-01-27,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/yw5opx2y,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=mlnd9v61,PC,2m 34.620s,https://www.youtube.com/watch?v=16f2kpdkjzU,,solo,2026-01-27,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/z56n1kdy,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=81w486vq; onvyp7nm=0139rzx1,PC,10m 13.067s,https://www.youtube.com/watch?v=-dm3wliyGtQ?t=139968000000,https://www.youtube.com/watch?v=cQJ1BzzE9X0; https://youtu.be/7zp3MTbFBpU,co-op,2026-01-27,3,hush_sr,Pinkhalfmoon,bigmouthbass,,http://www.speedrun.com/iwzombies/run/zg91q0jm,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; onvyp7nm=mlnd9v61,PC,2m 43.820s,https://www.youtube.com/watch?v=RNoJS8bv6Ho,,solo,2026-01-26,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/zn568v9z,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; onvyp7nm=0139rzx1,PC,10m 23.767s,https://www.youtube.com/watch?v=uXhta26pYgM,https://youtu.be/36nH1sKxqpo?si=14Ah4RjU_MPs44ll,co-op,2026-01-26,2,bigmouthbass,Pinkhalfmoon,,,http://www.speedrun.com/iwzombies/run/mkrx921z,verified
