game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Shangri-La,ylqk4dzl=21d36o5q; 2lg396np=5leo55qo; 789ye5nw=p12o4z7l,PC,2m 30.890s,https://youtu.be/Tw0Hsg-hRhk,,solo,2025-05-28,1,AlaricMoon,,,,http://www.speedrun.com/bo3zombies/run/z16owrgm,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=mlnzekjl; 2lg396np=5leo55qo; 2lg7k6lp=81p46ng1,PC,2m 58.020s,https://youtu.be/ldbWwxyb7Ug,,solo,2021-01-19,1,AlaricMoon,,,,http://www.speedrun.com/bo3zombies/run/z183e6jy,verified
Call of Duty: Black Ops III Zombies,,Nacht Der Untoten,p853w00n=zqorj2xq; 2lg396np=5leo55qo; 2lg7e6lp=5le3v85q,PC,3m 20.490s,https://youtu.be/wnY1y-0jLQI,,solo,2021-01-18,1,AlaricMoon,,,,http://www.speedrun.com/bo3zombies/run/yj1k98ny,rejected
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=5lemnvk1; 2lg396np=5leo55qo; ql659jn9=0q5x78m1,PC,2m 22.500s,https://youtu.be/5Q-Qy5EnnR8,,solo,2021-01-15,1,AlaricMoon,,,,http://www.speedrun.com/bo3zombies/run/y2v96rwz,verified
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=mlnzezjl; 2lg396np=5leo55qo; ylqx7m8r=013w4rdq,PC,2m 49.510s,https://youtu.be/4KrYlpoXJc0,,solo,2021-01-14,1,AlaricMoon,,,,http://www.speedrun.com/bo3zombies/run/z18dkvgy,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=jq6zvzjl; 2lg396np=5leo55qo; gnx65jnv=rqv6zd7l,PC,2m 38.470s,https://youtu.be/hpjUnT8xJ04,,solo,2021-01-14,1,AlaricMoon,,,,http://www.speedrun.com/bo3zombies/run/yo9vx87y,verified
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=21d3635q; 2lg396np=5leo55qo; p85pd5lg=zqom2np1,PC,2m 23.480s,https://youtu.be/aNiNc_4Pfps,,solo,2021-01-12,1,AlaricMoon,,,,http://www.speedrun.com/bo3zombies/run/yd986kqz,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=5leo55qo; 6njz75l4=5lm8wnjq,PC,2m 55.460s,https://youtu.be/JhNgfcJZS9M,,solo,2021-01-12,1,AlaricMoon,,,,http://www.speedrun.com/bo3zombies/run/m3n91e6y,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=013xgok1,PC,31m 32.280s,https://www.youtube.com/watch?v=B604QTEBZU0,,solo,2020-07-23,1,AlaricMoon,,,,http://www.speedrun.com/bo3zombies/run/meon9e8z,rejected
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=0q54r9rl,PC,4m 21.510s,https://www.youtube.com/watch?v=1ZBRMfJv0sQ&feature=youtu.be,,solo,2020-07-22,1,AlaricMoon,,,,http://www.speedrun.com/bo3zombies/run/z5jl75jm,rejected
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=jq6yg731,PC,2m 36.490s,https://www.youtube.com/watch?v=yGAPYO6IL4Y&feature=youtu.be,,solo,2020-07-19,1,AlaricMoon,,,,http://www.speedrun.com/bo3zombies/run/mrkxvedy,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=zqomrog1,PC,13m 27.200s,https://www.youtube.com/watch?v=0y_tBCAMdGM,,solo,2020-07-17,1,AlaricMoon,,,,http://www.speedrun.com/bo3zombies/run/yw8xkp3y,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=814k4d0l,PC,2m 52.230s,https://www.youtube.com/watch?v=oSK882n90sg,,solo,2020-07-01,1,AlaricMoon,,,,http://www.speedrun.com/bo3zombies/run/zqwjnv5z,verified
