game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=4lxz9212; 6njz75l4=5lm8wnjq,Xbox One,2m 35.012s,https://youtu.be/NQRs5trkvLY,,co-op,2020-04-18,3,RIPP3R,Tanksniper10,Chrissy3Piece,,http://www.speedrun.com/bo3zombies/run/zgwkgojy,verified
Call of Duty: Black Ops III Zombies,,Shi No Numa,r8ro6x28=814794v1; 2lg396np=4lxz9212; onvmywnm=4lx0d42l,Xbox One,3m 17.018s,https://youtu.be/dL8yhyfWdok,,co-op,2020-04-18,3,RIPP3R,Tanksniper10,Chrissy3Piece,,http://www.speedrun.com/bo3zombies/run/z051r2om,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=jqzxgy81; 2lg396np=4lxz9212; ylp4kjlg=z195dr0q,Xbox One,2m 31.024s,https://youtu.be/haYVNOm4mGY,,co-op,2020-04-18,3,RIPP3R,Tanksniper10,Chrissy3Piece,,http://www.speedrun.com/bo3zombies/run/yd56rxqm,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=gq7r2zdl; 2lg396np=4lxz9212; ylp4kjlg=z195dr0q,Xbox One,2m 31.024s,https://youtu.be/haYVNOm4mGY,,co-op,2020-04-18,3,RIPP3R,Tanksniper10,Chrissy3Piece,,http://www.speedrun.com/bo3zombies/run/y9059q2y,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=21g29o8l; 2lg396np=4lxz9212; ylp4kjlg=z195dr0q,Xbox One,2m 31.024s,https://youtu.be/haYVNOm4mGY,,co-op,2020-04-18,3,RIPP3R,Tanksniper10,Chrissy3Piece,,http://www.speedrun.com/bo3zombies/run/z15jr4jy,verified
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=5lmg2wml; 2lg396np=4lxz9212; ylp4gjlg=xqk968n1,Xbox One,2m 39.022s,https://youtu.be/9hI-Gqtl-qI,,co-op,2020-04-18,3,RIPP3R,Tanksniper10,Chrissy3Piece,,http://www.speedrun.com/bo3zombies/run/z051r4jm,rejected
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=9qjx2e3l; 2lg396np=4lxz9212; ylp4gjlg=xqk968n1,Xbox One,2m 39.022s,https://youtu.be/9hI-Gqtl-qI,,co-op,2020-04-18,3,RIPP3R,Tanksniper10,Chrissy3Piece,,http://www.speedrun.com/bo3zombies/run/y65ld4qz,verified
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=jq6zvgjl; 2lg396np=4lxz9212; ylp4gjlg=xqk968n1,Xbox One,2m 39.022s,https://youtu.be/9hI-Gqtl-qI,,co-op,2020-04-18,3,RIPP3R,Tanksniper10,Chrissy3Piece,,http://www.speedrun.com/bo3zombies/run/y821d4wy,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=mlnzekjl; 2lg396np=4lxz9212; 2lg7k6lp=81p46ng1,Xbox One,3m 17.001s,https://youtu.be/8YlZuy5Qq70,,co-op,2020-04-18,3,RIPP3R,Tanksniper10,Chrissy3Piece,,http://www.speedrun.com/bo3zombies/run/y9059r2y,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=4qyj782q; 2lg396np=4lxz9212; 2lg7k6lp=81p46ng1,Xbox One,3m 17.001s,https://youtu.be/8YlZuy5Qq70,,co-op,2020-04-18,3,RIPP3R,Tanksniper10,Chrissy3Piece,,http://www.speedrun.com/bo3zombies/run/z15jrejy,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=810w692q; 2lg396np=4lxz9212; 2lg7k6lp=81p46ng1,Xbox One,3m 17.001s,https://youtu.be/8YlZuy5Qq70,,co-op,2020-04-18,3,RIPP3R,Tanksniper10,Chrissy3Piece,,http://www.speedrun.com/bo3zombies/run/m7gqdk5m,verified
