game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=9qjw9k01,PlayStation 4,38.000s,https://youtu.be/tmLcdRyTYUc,,solo,2021-08-25,1,BLACKB1RDv,,,,http://www.speedrun.com/iwzombies/run/zgrxojvm,rejected
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; 789kjr0l=jqz66kk1,PlayStation 4,10m 23.000s,https://www.youtube.com/watch?v=YR90Wxu8Cu0,,solo,2021-08-13,1,BLACKB1RDv,,,,http://www.speedrun.com/iwzombies/run/m375op6z,rejected
Call of Duty: Infinite Warfare Zombies,,Attack of the Radioactive Thing,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; ylq5o7lr=81we9x91,PlayStation 4,4m 16.000s,https://www.youtube.com/watch?v=p-pQPdVwUbs,,solo,2021-08-11,1,BLACKB1RDv,,,,http://www.speedrun.com/iwzombies/run/y935d7ey,rejected
Call of Duty: Infinite Warfare Zombies,,Shaolin Shuffle,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; 6njo6684=5lm8p0yq,PlayStation 4,3m 2.000s,https://youtu.be/7B22KLcB6uM,,solo,2021-08-11,1,BLACKB1RDv,,,,http://www.speedrun.com/iwzombies/run/z1xjnlrm,rejected
Call of Duty: Infinite Warfare Zombies,,Shaolin Shuffle,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; 6njo6684=5lm8p0yq,PlayStation 4,3m 9.000s,https://www.youtube.com/watch?v=6thfRRVyaT0,,solo,2021-08-09,1,BLACKB1RDv,,,,http://www.speedrun.com/iwzombies/run/yvo31w8z,rejected
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; 789kjr0l=21gjjyo1,PlayStation 4,6m 14.000s,https://www.youtube.com/watch?v=P6QvWrekd5s,,co-op,2021-08-08,2,BLACKB1RDv,Agudelo420,,,http://www.speedrun.com/iwzombies/run/yde63gvm,rejected
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; 789kjr0l=jqz66kk1,PlayStation 4,10m 35.000s,https://www.youtube.com/watch?v=j9sk7FxoKxM,,solo,2021-08-07,1,BLACKB1RDv,,,,http://www.speedrun.com/iwzombies/run/z0734v4y,rejected
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; 789kjr0l=21gjjyo1,PlayStation 4,6m 17.000s,https://www.youtube.com/watch?v=WprR3ds-69M,,solo,2021-08-07,1,BLACKB1RDv,,,,http://www.speedrun.com/iwzombies/run/y8e1q25y,rejected
Call of Duty: Infinite Warfare Zombies,,Attack of the Radioactive Thing,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; ylq5o7lr=81we9x91,PlayStation 4,4m 26.000s,https://www.youtube.com/watch?v=daNFW8SmK1U,,solo,2021-08-05,1,BLACKB1RDv,,,,http://www.speedrun.com/iwzombies/run/m37oq44z,rejected
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; 789kjr0l=21gjjyo1,PlayStation 4,6m 19.000s,https://www.youtube.com/watch?v=7jpFeplLSbQ,,solo,2021-08-05,1,BLACKB1RDv,,,,http://www.speedrun.com/iwzombies/run/y473o4dy,rejected
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=9qjw9k01,PlayStation 4,39.000s,https://www.youtube.com/watch?v=4yDulhWlLso,,solo,2021-07-18,1,BLACKB1RDv,,,,http://www.speedrun.com/iwzombies/run/mr1gpq7z,rejected
