game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=9qjw9k01,PC,31.000s,https://youtu.be/Mkf1ZTorJ0s,,solo,2024-08-23,1,illest,,,,http://www.speedrun.com/iwzombies/run/z0qoje9m,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; onvyp7nm=21g9gyxq,Xbox One,14m 42.000s,https://www.twitch.tv/illest_/v/1931167757,,co-op,2023-09-23,2,illest,MstEddyThomas,,,http://www.speedrun.com/iwzombies/run/y8k2d2xy,verified
Call of Duty: Infinite Warfare Zombies,,Attack of the Radioactive Thing,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; ylq5o7lr=jq6ypon1,Xbox One,2m 44.000s,https://www.twitch.tv/illest_/v/1931134737,,co-op,2023-09-23,2,illest,MstEddyThomas,,,http://www.speedrun.com/iwzombies/run/zppr1lnz,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=81w486vq; ylpkr68g=jq6yp6n1,Xbox One,11m 58.000s,https://www.twitch.tv/illest_/v/1929395175,,co-op,2023-09-23,3,illest,MstEddyThomas,HighIndividual,,http://www.speedrun.com/iwzombies/run/zg8wgnjy,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; ylpkr68g=0q5v8d2l,Xbox One,23m 19.000s,https://www.twitch.tv/illest_/v/1906272003,,co-op,2023-09-02,2,illest,MstEddyThomas,,,http://www.speedrun.com/iwzombies/run/zxw2g4km,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; ylpkr68g=jq6yp6n1,Xbox One,10m 12.000s,https://www.twitch.tv/videos/1903595008,,co-op,2023-08-18,2,illest,MstEddyThomas,,,http://www.speedrun.com/iwzombies/run/yj2vkqgm,verified
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=81w486vq; 789kjr0l=21gjjyo1,Xbox One,6m 3.000s,https://youtu.be/hWinRGp0Blo,,co-op,2022-10-10,3,illest,MstEddyThomas,Yuteris,,http://www.speedrun.com/iwzombies/run/mk0pkvxz,verified
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=zqoxnzxq; 789kjr0l=21gjjyo1,Xbox One,6m 4.000s,https://youtu.be/ct6Wj1XNej4,,co-op,2022-10-10,4,illest,MstEddyThomas,RaxDeamon,DopeKid Luke,http://www.speedrun.com/iwzombies/run/znv2pv7m,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylpkr68g=0q5v8d2l,Xbox One,22m 6.000s,https://youtu.be/IlxJrpqwdQU,,solo,2022-09-05,1,illest,,,,http://www.speedrun.com/iwzombies/run/m708o1ey,rejected
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylpkr68g=0q5v8d2l,Xbox One,22m 6.673s,https://youtu.be/QsVKgFJ6DoM,,solo,2022-09-05,1,illest,,,,http://www.speedrun.com/iwzombies/run/yj21r6gm,verified
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; 789kjr0l=21gev7xl,Xbox One,13m 11.000s,https://youtu.be/IlxJrpqwdQU,,solo,2022-08-18,1,illest,,,,http://www.speedrun.com/iwzombies/run/z1l8nd9m,rejected
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; 789kjr0l=21gev7xl,Xbox One,13m 11.304s,https://youtu.be/hkCVd2rQvrU,,solo,2022-08-18,1,illest,,,,http://www.speedrun.com/iwzombies/run/zgex1vdy,verified
