"CREDIT: Skrine, Scrappy, Gannon, Freckleston",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLICK HERE TO VIEW ALL AVAILABLE INFO AND IT'S LOCATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Perfect Times,,,,,Expected Times,,,,,Roughly Best Possible total time (no dogs),,,,,,,,,,,,,,,,,,,,,,,,Shadows of Evil Symbol Guide,,,,,,AAT Info
36,01:15.150,01:42.200,02:14.850,02:37.000,36,01:15.650,01:43.200,02:17.050,02:40.500,36,36,36:13.97,,,,,,,,,,,,,34,0:51,0:51,,,,34,1:11,1:11,,,,,,,,
37,01:11.000,01:46.750,02:21.350,02:45.000,37,01:11.500,01:47.850,02:23.650,02:48.700,37,37,37:25.52,,,,,,,,,,,,,35,0:53,0:53,,,,35,1:14,1:14,,,,,,,,
38,01:13.400,01:37.200,02:28.100,02:53.000,38,01:14.000,01:38.300,02:30.500,02:56.900,38,38,38:40.06,,,,,,,,,,,,,36,0:55,0:55,,,,36,1:17,1:17,,,,,,,,
39,01:16.200,01:41.400,02:35.100,03:01.400,39,01:16.800,01:42.600,02:37.600,03:05.500,39,39,39:57.60,,,,,,,,,,,,,37,0:57,0:57,,,,37,1:07,1:07,,,,,,,,
40,01:11.050,01:45.900,02:12.400,03:10.000,40,01:11.750,01:47.200,02:15.300,03:14.300,40,40,41:10.15,,,,,,,,,,,,,38,0:51,0:51,,,,38,1:10,1:10,,,,,,,,
41,01:13.500,01:50.100,02:18.200,03:18.600,41,01:14.200,01:51.400,02:21.200,03:23.200,41,41,42:24.68,,,,,,,,,,,,,39,0:53,0:53,,,,39,1:12,1:12,,,,,,,,
42,01:15.950,01:54.600,02:24.200,03:27.600,42,01:16.650,01:56.000,02:27.400,03:32.400,42,42,43:41.23,,,,,,,,,,,,,40,0:55,0:55,,,,40,1:16,1:16,,,,,,,,
43,01:18.750,01:41.350,02:30.200,03:36.800,43,01:19.450,01:42.950,02:33.500,03:41.800,43,43,45:00.79,,,,,,,,,,,,,41,0:57,0:58,,,,41,1:20,1:20,,,,,,,,
44,01:11.700,01:45.350,02:36.400,03:46.200,44,01:12.500,01:46.950,02:39.900,03:51.400,44,44,46:13.32,,,,,,,,,,,,,42,0:59,0:59,,,,42,1:22,1:22,,,,,,,,
45,01:14.100,01:49.350,02:43.000,03:55.800,45,01:14.900,01:51.050,02:46.700,04:01.300,45,45,47:28.86,,,,,,,,,,,,,43,1:01,1:01,,,,43,1:26,1:26,,,,,,,,
46,01:16.500,01:53.350,02:49.400,04:05.600,46,01:17.400,01:55.150,02:53.200,04:11.300,46,46,48:46.40,,,,,,,,,,,,,44,1:02,1:02,,,,44,1:29,1:29,,,,,,,,
47,01:18.900,01:57.600,02:56.200,04:15.600,47,01:19.800,01:59.500,03:00.200,04:21.500,47,47,50:06.94,,,,,,,,,,,,,45,0:56,0:56,,,,45,1:31,1:31,,,,,,,,
48,01:21.600,02:01.850,03:03.000,04:26.000,48,01:22.500,02:03.750,03:07.100,04:32.200,48,48,51:30.49,,,,,,,,,,,,,46,0:57,0:57,,,,46,1:33,1:33,,,,,,,,
49,01:12.350,02:06.350,03:10.000,04:36.400,49,01:13.350,02:08.350,03:14.300,04:42.900,49,49,52:44.04,1:07:10,1:23:46,1:35:01,,,,,,,,,,47,0:58,0:58,,,,47,1:37,1:37,,,,,,,,
50,01:14.600,01:47.200,03:17.200,04:47.200,50,01:15.700,01:49.500,03:21.700,04:53.900,50,50,54:00.59,,,,,,,,,,,,,48,0:59,0:59,,,,48,1:41,1:41,,,,,,,,
51,01:16.850,01:50.800,03:24.400,04:58.000,51,01:17.950,01:53.200,03:29.100,05:05.000,51,51,55:19.14,,,,,,,,,,,,,49,1:02,1:02,,,,49,1:45,1:45,,,,,,,,
52,01:19.100,01:54.400,03:31.800,05:09.200,52,01:20.300,01:56.900,03:36.700,05:16.500,52,52,56:39.69,,,,,,,,,,,,,50,1:05,1:05,,,,50,1:50,1:50,,,,,,,,
53,01:21.350,01:58.200,03:39.400,05:20.400,53,01:22.550,02:00.800,03:44.400,05:28.000,53,53,58:03.23,,,,,,,,,,,,,51,1:05,1:05,,,,51,1:53,1:53,,,,,,,,
54,01:23.850,02:02.000,03:47.000,05:32.000,54,01:25.150,02:04.600,03:52.200,05:39.900,54,54,59:28.81,,,,,,,,,,,,,52,1:07,1:07,,,,52,1:56,1:56,,,,,,,,
55,01:26.350,02:06.000,03:55.000,05:43.800,55,01:27.650,02:08.800,04:00.400,05:51.900,55,55,1:00:57,,,,,,,,,,,,,53,1:09,1:09,,,,53,2:01,2:01,,Symbol 2,,,,,,
56,01:13.600,02:10.000,04:02.800,05:55.800,56,01:15.000,02:12.800,04:08.500,06:04.200,56,56,1:02:13,,,,,,,,,,,,,54,1:11,1:11,,,,54,2:04,2:04,,,,,,,,
57,01:15.600,02:14.000,04:11.000,06:08.000,57,01:17.100,02:16.900,04:16.800,06:16.700,57,57,1:03:30,,,,,,,,,,,,,55,1:13,1:13,,,,55,2:09,2:09,,No dot means it is symbol 2,,,,,,
58,01:17.600,02:18.200,04:19.400,06:20.400,58,01:19.200,02:21.200,04:25.500,06:29.400,58,58,1:04:50,,,,,,,,,,,,,56,1:14,1:14,,,,50 Time,,,,,,,,,,
59,01:19.800,02:22.400,04:27.800,06:33.000,59,01:21.400,02:25.500,04:34.000,06:42.400,59,59,1:06:12,,,,,,,,,,,,,50 Time,~45:45,~49:45,,,,,,,,,,,,,,
60,01:22.000,02:26.800,04:36.400,06:46.000,60,01:23.700,02:30.000,04:42.800,06:55.700,60,60,1:07:36,,,,,,,,,,,,,57+ use normal BO3 round times,,,,,,,,,,,,,,,,
61,01:24.000,02:31.000,04:45.000,06:59.000,61,01:25.700,02:34.400,04:51.700,07:09.000,61,61,1:09:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,01:26.200,02:35.400,04:53.800,07:12.200,62,01:28.000,02:38.900,05:00.700,07:22.500,62,62,1:10:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,01:28.600,02:40.000,05:02.800,07:25.800,63,01:30.500,02:43.600,05:09.900,07:36.400,63,63,1:12:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,01:30.800,02:44.600,05:12.000,07:39.400,64,01:32.700,02:48.300,05:19.300,07:50.400,64,64,1:13:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,01:33.200,02:49.200,05:21.400,07:53.400,65,01:35.200,02:53.000,05:29.000,08:04.700,65,65,1:15:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,01:35.600,02:54.000,05:30.800,08:07.600,66,01:37.600,02:57.900,05:38.600,08:19.300,66,66,1:16:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,01:38.000,02:58.800,05:40.400,08:22.000,67,01:40.100,03:02.800,05:48.400,08:34.000,67,67,1:18:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,01:40.400,03:03.600,05:50.000,08:36.400,68,01:42.500,03:07.800,05:58.300,08:48.800,68,68,1:20:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,01:42.800,03:08.400,05:59.800,08:51.200,69,01:45.000,03:12.700,06:08.300,09:04.000,69,69,1:21:56,1:56:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,01:45.400,03:13.600,06:10.000,09:06.400,70,01:47.600,03:18.000,06:18.800,09:19.500,70,70,1:23:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,01:47.800,03:18.600,06:20.000,09:21.600,71,01:50.100,03:23.100,06:29.000,09:35.100,71,71,1:25:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,01:50.400,03:23.800,06:30.400,09:37.000,72,01:52.800,03:28.500,06:39.700,09:50.900,72,72,1:27:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,01:53.000,03:29.000,06:40.800,09:52.600,73,01:55.400,03:33.800,06:50.300,10:06.900,73,73,1:29:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,01:55.600,03:34.200,06:51.400,10:08.600,74,01:58.100,03:39.100,07:01.200,10:23.200,74,74,1:31:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,01:58.400,03:39.600,07:02.200,10:24.600,75,02:01.000,03:44.600,07:12.300,10:39.700,75,75,1:33:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,02:01.000,03:45.000,07:13.000,10:41.000,76,02:03.600,03:50.200,07:23.300,10:56.400,76,76,1:35:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,02:03.800,03:50.600,07:24.000,10:57.400,77,02:06.500,03:55.900,07:34.600,11:13.300,77,77,1:37:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,02:06.600,03:56.200,07:35.200,11:14.200,78,02:09.400,04:01.600,07:46.100,11:30.500,78,78,1:39:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,02:09.400,04:01.800,07:46.400,11:31.200,79,02:12.200,04:07.400,07:57.500,11:47.800,79,79,1:41:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,02:12.400,04:07.600,07:58.000,11:48.400,80,02:15.300,04:13.300,08:09.400,12:05.500,80,80,1:44:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,02:15.200,04:13.200,08:09.400,12:05.600,81,02:18.200,04:19.100,08:21.100,12:23.100,81,81,1:46:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,02:18.200,04:19.200,08:21.200,12:23.200,82,02:21.200,04:25.200,08:33.200,12:41.200,82,82,1:49:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,02:21.200,04:25.200,08:33.200,12:41.200,83,02:24.300,04:31.400,08:45.500,12:59.600,83,83,1:51:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,02:24.200,04:31.200,08:45.200,12:59.200,84,02:27.400,04:37.500,08:57.800,13:18.100,84,84,1:53:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,02:27.200,04:37.200,08:57.400,13:17.400,85,02:30.500,04:43.600,09:10.300,13:36.700,85,85,1:56:25,,,,,,,,,,,,,,,,,,,,,,,Symbol 3,,,,,,
86,02:30.200,04:43.400,09:09.600,13:35.800,86,02:33.500,04:50.000,09:22.800,13:55.500,86,86,1:58:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,02:33.400,04:49.600,09:22.000,13:54.600,87,02:36.800,04:56.400,09:35.500,14:14.800,87,87,2:01:37,,,,,,,,,,,,,,,,,,,,,,,No dot so it is symbol 3,,,,,,
88,02:36.400,04:55.800,09:34.600,14:13.400,88,02:39.900,05:02.700,09:48.400,14:34.000,88,88,2:04:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,02:39.600,05:02.200,09:47.400,14:32.600,89,02:43.200,05:09.300,10:01.500,14:53.800,89,89,2:06:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,02:43.000,05:08.800,10:00.400,14:52.000,90,02:46.700,05:16.100,10:14.800,15:13.600,90,90,2:09:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,02:46.200,05:15.200,10:13.400,15:11.400,91,02:49.900,05:22.600,10:28.200,15:33.500,91,91,2:12:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,02:49.400,05:21.800,10:26.600,15:31.200,92,02:53.300,05:29.400,10:41.700,15:53.800,92,92,2:15:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,02:52.800,05:28.400,10:39.800,15:51.200,93,02:56.700,05:36.100,10:55.200,16:14.200,93,93,2:18:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,02:56.200,05:35.200,10:53.200,16:11.400,94,03:00.200,05:43.100,11:08.900,16:35.000,94,94,2:21:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,02:59.600,05:42.000,11:07.000,16:31.800,95,03:03.700,05:50.100,11:23.000,16:55.900,95,95,2:24:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,03:03.000,05:48.800,11:20.600,16:52.400,96,03:07.200,05:57.000,11:37.000,17:17.000,96,96,2:27:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,03:06.400,05:55.800,11:34.600,17:13.200,97,03:10.700,06:04.200,11:51.400,17:38.300,97,97,2:30:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,03:10.000,06:02.800,11:48.600,17:34.400,98,03:14.400,06:11.400,12:05.700,18:00.100,98,98,2:34:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,03:13.600,06:10.000,12:02.800,17:55.600,99,03:18.000,06:18.700,12:20.300,18:21.800,99,99,2:37:13,4:18:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,03:17.200,06:17.200,12:17.200,18:17.200,100,03:21.700,06:26.100,12:35.000,18:44.000,100,100,2:40:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,03:20.800,06:24.400,12:31.600,18:38.800,101,03:25.400,06:33.600,12:49.800,19:06.000,,101,2:44:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,03:24.400,06:31.600,12:46.200,19:00.800,102,03:29.100,06:40.900,13:04.700,19:28.600,,102,2:47:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,03:28.000,06:39.000,13:01.000,19:22.800,103,03:32.800,06:48.400,13:19.900,19:51.100,,103,2:51:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,03:31.800,06:46.400,13:15.800,19:45.200,104,03:36.700,06:56.100,13:35.000,20:14.100,,104,2:54:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,03:35.600,06:54.000,13:31.000,20:07.800,105,03:40.500,07:03.900,13:50.600,20:37.300,,105,2:58:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,03:39.400,07:01.600,13:46.000,20:30.600,106,03:44.400,07:11.600,14:06.000,21:00.600,,106,3:02:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,03:43.200,07:09.200,14:01.400,20:53.600,107,03:48.400,07:19.400,14:21.800,21:24.200,,107,3:06:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,03:47.000,07:17.000,14:17.000,21:16.800,108,03:52.200,07:27.400,14:37.700,21:47.900,,108,3:09:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,03:51.000,07:24.800,14:32.600,21:40.200,109,03:56.300,07:35.400,14:53.700,22:11.900,,109,3:13:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,03:55.000,07:32.800,14:48.400,22:04.000,110,04:00.500,07:43.600,15:09.900,22:36.200,,110,3:17:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,03:58.800,07:40.600,15:04.200,22:27.800,111,04:04.300,07:51.600,15:26.100,23:00.700,,111,3:21:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,04:02.800,07:48.600,15:20.200,22:51.800,112,04:08.400,07:59.800,15:42.600,23:25.200,,112,3:26:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,04:07.000,07:56.800,15:36.400,23:16.200,113,04:12.800,08:08.200,15:59.100,23:50.300,,113,3:30:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,04:11.000,08:05.000,15:52.800,23:40.600,114,04:16.800,08:16.600,16:16.000,24:15.100,,114,3:34:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,04:15.200,08:13.200,16:09.400,24:05.400,115,04:21.100,08:25.000,16:32.900,24:40.700,,115,3:38:58,,,,,,,,,,,,,,,,,,,,,,,Symbol 4,,,,,,
116,04:19.400,08:21.600,16:26.000,24:30.400,116,04:25.500,08:33.600,16:49.900,25:06.300,,116,3:43:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,04:23.600,08:30.000,16:42.800,24:55.600,117,04:29.700,08:42.200,17:07.100,25:32.100,,117,3:47:53,,,,,,,,,,,,,,,,,,,,,,,Long and skinny,,,,,,
118,04:27.800,08:38.400,16:59.600,25:20.800,118,04:34.000,08:50.800,17:24.300,25:58.000,,118,3:52:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,04:32.000,08:46.800,17:16.600,25:46.400,119,04:38.300,08:59.500,17:41.800,26:24.200,,119,3:56:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,04:36.400,08:55.600,17:34.000,26:12.400,120,04:42.800,09:08.400,17:59.500,26:50.800,,120,4:01:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,04:40.600,09:04.200,17:51.200,26:38.400,121,04:47.200,09:17.300,18:17.200,27:17.500,,121,4:06:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,04:45.000,09:13.000,18:08.800,27:04.600,122,04:51.600,09:26.200,18:35.300,27:44.300,,122,4:11:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,04:49.400,09:21.800,18:26.400,27:31.000,123,04:56.200,09:35.300,18:53.200,28:11.300,,123,4:16:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,04:53.800,09:30.600,18:44.200,27:57.800,124,05:00.700,09:44.300,19:11.500,28:38.800,,124,4:21:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,04:58.400,09:39.600,19:02.200,28:24.600,125,05:05.400,09:53.500,19:30.000,29:06.300,,125,4:26:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
